*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		136136		993470
2		113042		458245
3		1111374		424211
4		122765		375186
5		270246		435555
6		106559		360194
7		139783		191644
8		102913		198937
9		106559		186782
10		108990		199342
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		434745		7716415
2		335074		4005081
3		267816		3973073
4		236212		3991711
5		279160		3890013
6		469994		4101916
7		331832		4232785
8		258903		6387465
9		200963		4064641
10		167334		4067882
