*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		81438		1867822
2		123576		2511228
3		101292		1372707
4		147886		2428574
5		115068		2370635
6		134111		1696841
7		99266		844370
8		119525		1546525
9		116688		1255614
10		78603		799396
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		263764		130159656
2		265385		130450161
3		364651		127000565
4		276729		129029239
5		262954		169692255
6		251609		130688400
7		293747		131962652
8		125602		154238762
9		159230		150210585
10		121955		138200206
