,tra_sco_mean,tra_sco_stdDev,tra_lin_mean,tra_lin_stdDev,tra_ibk_mean,tra_ibk_stdDev,tst_sco_mean,tst_sco_stdDev,tst_lin_mean,tst_lin_stdDev,tst_ibk_mean,tst_ibk_stdDev
appendicitis,98.84758771929825,0.7742579152511289,100.0,0.0,100.0,0.0,83.9090909090909,4.6955031923712305,83.9090909090909,4.6955031923712305,80.27272727272727,11.126206458452337
australian,64.92753623188405,1.0730004025093491,91.73913043478261,0.4804004473486731,100.0,0.0,58.69565217391305,2.077856344696287,78.84057971014492,3.7544655512512937,81.15942028985508,4.099169746008971
