*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		53077		1779496
2		57533		2208973
3		45784		1395802
4		58344		1414035
5		51456		1054246
6		51456		1056271
7		55103		995092
8		41327		993065
9		69688		1003195
10		110206		1702919
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		104939		138561615
2		105344		136077128
3		155179		163666198
4		105749		137793012
5		141809		141051775
6		105748		141547294
7		105344		135212905
8		104128		139376812
9		730922		152339336
10		40112		136175989
