*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		38491		1655920
2		37680		1642144
3		55913		2187905
4		46999		2220318
5		73740		2916396
6		39301		1999907
7		50241		1809883
8		112231		1630799
9		59560		2008820
10		74551		1455767
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		36870		133078888
2		37276		133437866
3		35655		134394062
4		39707		133657872
5		42948		134780187
6		38491		135193862
7		38086		134217814
8		37681		142925674
9		36871		133238524
10		37276		134742101
