*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		26336		506865
2		34034		233377
3		48620		379642
4		37276		403952
5		38491		463106
6		86301		276729
7		106559		255660
8		31198		308332
9		41327		267816
10		39301		278755
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		80629		7019122
2		58344		6826262
3		71309		6721729
4		54292		6712005
5		59154		6517525
6		57533		6510636
7		55913		6861107
8		55508		6650014
9		57534		6729022
10		55913		6714841
