*************************** Dataset appendicitis-10 (8 attributes) *************************
fold		build		classification[ms]
1		44568		1967089
2		47810		1648626
3		75767		2262050
4		32414		1660781
5		42138		2593072
6		89947		1995045
7		46999		1954933
8		43353		1875925
9		61991		1972355
10		37275		1130417
*************************** Dataset australian-10 (15 attributes) *************************
fold		build		classification[ms]
1		41732		144861159
2		36870		135948284
3		39706		133798060
4		37276		135879001
5		41327		134989253
6		38896		133400591
7		37681		133782664
8		36870		132987320
9		38896		134100720
10		42543		135192242
